areaCode,areaName,areaType,date,hospitalCases
K02000001,United Kingdom,overview,5/3/2021,1303
K02000001,United Kingdom,overview,5/2/2021,1285
K02000001,United Kingdom,overview,5/1/2021,1287
K02000001,United Kingdom,overview,4/30/2021,1366
K02000001,United Kingdom,overview,4/29/2021,1464
K02000001,United Kingdom,overview,4/28/2021,1515
K02000001,United Kingdom,overview,4/27/2021,1572
K02000001,United Kingdom,overview,4/26/2021,1649
K02000001,United Kingdom,overview,4/25/2021,1626
K02000001,United Kingdom,overview,4/24/2021,1673
K02000001,United Kingdom,overview,4/23/2021,1749
K02000001,United Kingdom,overview,4/22/2021,1791
K02000001,United Kingdom,overview,4/21/2021,1893
K02000001,United Kingdom,overview,4/20/2021,1926
K02000001,United Kingdom,overview,4/19/2021,2007
K02000001,United Kingdom,overview,4/18/2021,1983
K02000001,United Kingdom,overview,4/17/2021,2035
K02000001,United Kingdom,overview,4/16/2021,2140
K02000001,United Kingdom,overview,4/15/2021,2195
K02000001,United Kingdom,overview,4/14/2021,2295
K02000001,United Kingdom,overview,4/13/2021,2408
K02000001,United Kingdom,overview,4/12/2021,2492
K02000001,United Kingdom,overview,4/11/2021,2549
K02000001,United Kingdom,overview,4/10/2021,2650
K02000001,United Kingdom,overview,4/9/2021,2793
K02000001,United Kingdom,overview,4/8/2021,2872
K02000001,United Kingdom,overview,4/7/2021,3019
K02000001,United Kingdom,overview,4/6/2021,3143
K02000001,United Kingdom,overview,4/5/2021,3255
K02000001,United Kingdom,overview,4/4/2021,3229
K02000001,United Kingdom,overview,4/3/2021,3244
K02000001,United Kingdom,overview,4/2/2021,3376
K02000001,United Kingdom,overview,4/1/2021,3557
K02000001,United Kingdom,overview,3/31/2021,3742
K02000001,United Kingdom,overview,3/30/2021,3976
K02000001,United Kingdom,overview,3/29/2021,4197
K02000001,United Kingdom,overview,3/28/2021,4185
K02000001,United Kingdom,overview,3/27/2021,4436
K02000001,United Kingdom,overview,3/26/2021,4485
K02000001,United Kingdom,overview,3/25/2021,4583
K02000001,United Kingdom,overview,3/24/2021,4880
K02000001,United Kingdom,overview,3/23/2021,5150
K02000001,United Kingdom,overview,3/22/2021,5431
K02000001,United Kingdom,overview,3/21/2021,5448
K02000001,United Kingdom,overview,3/20/2021,5567
K02000001,United Kingdom,overview,3/19/2021,5880
K02000001,United Kingdom,overview,3/18/2021,6150
K02000001,United Kingdom,overview,3/17/2021,6585
K02000001,United Kingdom,overview,3/16/2021,6847
K02000001,United Kingdom,overview,3/15/2021,7207
K02000001,United Kingdom,overview,3/14/2021,7315
K02000001,United Kingdom,overview,3/13/2021,7384
K02000001,United Kingdom,overview,3/12/2021,7728
K02000001,United Kingdom,overview,3/11/2021,8066
K02000001,United Kingdom,overview,3/10/2021,8436
K02000001,United Kingdom,overview,3/9/2021,9009
K02000001,United Kingdom,overview,3/8/2021,9474
K02000001,United Kingdom,overview,3/7/2021,9459
K02000001,United Kingdom,overview,3/6/2021,9711
K02000001,United Kingdom,overview,3/5/2021,10312
K02000001,United Kingdom,overview,3/4/2021,10933
K02000001,United Kingdom,overview,3/3/2021,11523
K02000001,United Kingdom,overview,3/2/2021,12139
K02000001,United Kingdom,overview,3/1/2021,12894
K02000001,United Kingdom,overview,2/28/2021,12788
K02000001,United Kingdom,overview,2/27/2021,13269
K02000001,United Kingdom,overview,2/26/2021,14077
K02000001,United Kingdom,overview,2/25/2021,14849
K02000001,United Kingdom,overview,2/24/2021,15534
K02000001,United Kingdom,overview,2/23/2021,16115
K02000001,United Kingdom,overview,2/22/2021,16855
K02000001,United Kingdom,overview,2/21/2021,16857
K02000001,United Kingdom,overview,2/20/2021,17042
K02000001,United Kingdom,overview,2/19/2021,17860
K02000001,United Kingdom,overview,2/18/2021,18522
K02000001,United Kingdom,overview,2/17/2021,19449
K02000001,United Kingdom,overview,2/16/2021,20215
K02000001,United Kingdom,overview,2/15/2021,20994
K02000001,United Kingdom,overview,2/14/2021,21054
K02000001,United Kingdom,overview,2/13/2021,20970
K02000001,United Kingdom,overview,2/12/2021,22324
K02000001,United Kingdom,overview,2/11/2021,23411
K02000001,United Kingdom,overview,2/10/2021,24417
K02000001,United Kingdom,overview,2/9/2021,25689
K02000001,United Kingdom,overview,2/8/2021,26744
K02000001,United Kingdom,overview,2/7/2021,26800
K02000001,United Kingdom,overview,2/6/2021,26914
K02000001,United Kingdom,overview,2/5/2021,28383
K02000001,United Kingdom,overview,2/4/2021,29413
K02000001,United Kingdom,overview,2/3/2021,30604
K02000001,United Kingdom,overview,2/2/2021,31766
K02000001,United Kingdom,overview,2/1/2021,32960
K02000001,United Kingdom,overview,1/31/2021,32586
K02000001,United Kingdom,overview,1/30/2021,33015
K02000001,United Kingdom,overview,1/29/2021,33847
K02000001,United Kingdom,overview,1/28/2021,34909
K02000001,United Kingdom,overview,1/27/2021,35513
K02000001,United Kingdom,overview,1/26/2021,37101
K02000001,United Kingdom,overview,1/25/2021,37756
K02000001,United Kingdom,overview,1/24/2021,37730
K02000001,United Kingdom,overview,1/23/2021,37398
K02000001,United Kingdom,overview,1/22/2021,38257
K02000001,United Kingdom,overview,1/21/2021,38059
K02000001,United Kingdom,overview,1/20/2021,38739
K02000001,United Kingdom,overview,1/19/2021,38846
K02000001,United Kingdom,overview,1/18/2021,39254
K02000001,United Kingdom,overview,1/17/2021,38169
K02000001,United Kingdom,overview,1/16/2021,37715
